,precision,recall,f1-score,support
0,0.8282647584973166,0.8946859903381642,0.8601950766372504,1035.0
1,0.6254295532646048,0.48663101604278075,0.5473684210526316,374.0
accuracy,0.7863733144073811,0.7863733144073811,0.7863733144073811,0.7863733144073811
macro avg,0.7268471558809607,0.6906585031904725,0.7037817488449409,1409.0
weighted avg,0.7744248956463342,0.7863733144073811,0.7771594703997433,1409.0
