,precision,recall,f1-score,support
0,0.8486238532110092,0.893719806763285,0.8705882352941177,1035.0
1,0.6551724137931034,0.5588235294117647,0.6031746031746031,374.0
accuracy,0.8048261178140526,0.8048261178140526,0.8048261178140526,0.8048261178140526
macro avg,0.7518981335020563,0.7262716680875249,0.7368814192343605,1409.0
weighted avg,0.7972747841249221,0.8048261178140526,0.7996069021410315,1409.0
