,precision,recall,f1-score,support
0,0.8375224416517055,0.9014492753623189,0.8683108422522103,1035.0
1,0.6542372881355932,0.516042780748663,0.5769805680119582,374.0
accuracy,0.7991483321504613,0.7991483321504613,0.7991483321504613,0.7991483321504613
macro avg,0.7458798648936493,0.7087460280554909,0.7226457051320843,1409.0
weighted avg,0.7888718757077553,0.7991483321504613,0.7909811598066075,1409.0
